	en	fr	es	el
twittersna_hashtag_graph_tip	This graphs shows you the hashtags (and their numbers) retrieved with their co-occurrences between them. Thicker edges show more co-occurences between the hashtags. You can see the corresponding tweets by clicking on a node. If you want to see the intersection of two nodes, click on the bigger node then type the second hashtag in the search box.	Ce graphique vous montre les hashtags (et leur nombre) récupérés avec leurs cooccurrences entre eux. Plus un arc est épais, plus il montre de co-occurrences entre les hashtags. Vous pouvez voir les tweets correspondants en cliquant sur un nœud. Si vous voulez voir l'intersection de deux nœuds, cliquez sur le plus gros nœud puis écrivez le deuxième hashtag dans la boîte de recherche.	Este gráfico muestra los hashtags (y sus números) recuperados con sus co-ocurrencias entre ellos. Los enlaces más gruesos muestran más co-ocurrencias entre los hashtags. Puedes ver los tweets correspondientes clicqueando en un nodo. Si quiere ver la intersección de dos nodos, haga clic en el nodo más grande y luego escriba el segundo hashtag en el cuadro de búsqueda.	Σε αυτά τα γραφήματα εμφανίζονται τα hashtag (και οι αριθμοί τους) που ανακτήθηκαν με τις συν-εμφανίσεις τους μεταξύ τους. Τα παχύτερα άκρα δείχνουν περισσότερες συν-εμφανίσεις μεταξύ των hashtags. Μπορείτε να δείτε τα αντίστοιχα tweets κάνοντας κλικ σε έναν κόμβο. Εάν θέλετε να δείτε τη διασταύρωση δύο κόμβων, κάντε κλικ στον μεγαλύτερο κόμβο και, στη συνέχεια, πληκτρολογήστε το δεύτερο hashtag στο πλαίσιο αναζήτησης.
twittersna_wordcloud_tip	This word cloud shows you the top words used in the tweet collection of your query (without the query words). You can click on each word to see the corresponding tweets.	Ce nuage de mots vous montre les principaux mots utilisés dans la collection de tweets de votre requête (sans les mots de la requête). Vous pouvez cliquer sur chaque mot pour voir les tweets correspondants.	Esta nube de palabras le muestra las palabras más usadas en la colección de tweets de su consulta (sin las palabras de la consulta). Puedes hacer clic en cada palabra para ver los tweets correspondientes.	Αυτό το σύννεφο λέξεων εμφανίζει τις κορυφαίες λέξεις που χρησιμοποιούνται στη συλλογή tweet του ερωτήματός σας (χωρίς τις λέξεις ερωτήματος). Μπορείτε να κάνετε κλικ σε κάθε λέξη για να δείτε τα αντίστοιχα tweets.
twittersna_urls_tip	Sorted list of most shared urls in the collection of tweets. You can relaunch a TwitterSNA query with any link by selecting it (check box) and using the TwitterSNA button.	Liste triée des urls les plus partagées dans la collection de tweets. Vous pouvez relancer une requête TwitterSNA avec n'importe quel lien en le sélectionnant (case à cocher) et en utilisant le bouton TwitterSNA.	Lista ordenada de las urls más compartidas en la colección de tweets. Puede relanzar una consulta de TwitterSNA con cualquier enlace seleccionándolo (casilla de verificación) y usando el botón de TwitterSNA.	Ταξινομημένη λίστα με τις περισσότερες κοινές διευθύνσεις URL στη συλλογή tweets. Μπορείτε να επανεκκινήσετε ένα ερώτημα TwitterSNA με οποιονδήποτε σύνδεσμο επιλέγοντας το (πλαίσιο ελέγχου) και χρησιμοποιώντας το κουμπί TwitterSNA.
twittersna_user_graph_tip	User accounts graph	Graphe de comptes utilisateurs	Grafo de cuentas de usuarios	Γράφημα λογαριασμών χρηστών
twittersna_export_graph_tip	Export and view graph in gexf	Exporter et visualiser le graphe en format gexf	Exportar y visualizar el grafo en formato gexf	Εξαγωγή και προβολή γραφήματος στο gexf
forensic_tip	All forensic filters displayed below are aimed at detecting picture signal alteration such as incoherences in compression, frequencies, jpeg blocks, etc... More filters highlight some specific zone, more likely the image could be tampered. Note that alteration in the signal can be also triggered by light conditions, resampling or compressing the image without intention to alter its semantics. You can click on each filter to see it on top of the image you want to check. You can then use the vertical slider to compare the filter output with the initial picture.	Tous les filtres forensic présentés ci-dessous visent à détecter les altérations du signal dans l'image telles que les incohérences dans la compression, les fréquences, les blocs jpeg, etc. Plus les filtres mettent en évidence une zone spécifique, plus il est probable que l'image soit altérée. Notez que l'altération du signal peut également être déclenchée par des conditions de lumière, en rééchantillonnant ou en compressant l'image sans intention d'en altérer la sémantique. Vous pouvez cliquer sur chaque filtre pour le voir sur l'image que vous voulez vérifier. Vous pouvez alors utiliser le curseur vertical pour comparer la sortie du filtre avec l'image initiale.	Todos los filtros forensics que se muestran a continuación tienen como objetivo detectar una posible alteración de la señal de la imagen, como incoherencias en la compresión, frecuencias, bloques jpeg, etc... Cuando más filtros resaltan alguna zona específica, es más probable que la imagen pueda ser alterada. Obsérvese que la alteración de la señal también puede ser provocada por condiciones de luz, remuestreo o compresión de la imagen sin intención de alterar su semántica. Puede hacer clic en cada filtro para verlo encima de la imagen que quiere comprobar. Puede utilizar el control deslizante vertical para comparar la salida del filtro con la imagen inicial.	Όλα τα φίλτρα ανίχνευσης αυθεντικότητας που εμφανίζονται παρακάτω στοχεύουν στην ανίχνευση αλλαγής σήματος εικόνας, όπως ασυνέπειες στη συμπίεση, συχνότητες, μπλοκ jpeg, κ.λπ ...  Όσο περισσότερα φίλτρα επισημαίνουν κάποια συγκεκριμένη ζώνη, τόσο πιθανότερα η εικόνα θα μπορούσε να έχει αλλοιωθεί. Σημειώστε ότι η αλλαγή του σήματος μπορεί επίσης να προκληθεί από συνθήκες φωτισμού, επαναπροσδιορισμός ή συμπίεση της εικόνας χωρίς πρόθεση να αλλάξει τη σημασιολογία της. Μπορείτε να κάνετε κλικ σε κάθε φίλτρο για να το δείτε πάνω στην εικόνα που θέλετε να ελέγξετε. Στη συνέχεια, μπορείτε να χρησιμοποιήσετε το κατακόρυφο ρυθμιστικό για να συγκρίνετε την έξοδο του φίλτρου με την αρχική εικόνα.
metadata_tip	Most social networks platforms are getting rid of metadata in pictures and videos. If, as a journalist or fact-checker, you want to ensure the picture or video is an original UGC production, ask for the original file and you can check it here as a local file to see its metadata.	La plupart des plateformes de réseaux sociaux se débarrassent des métadonnées des photos et des vidéos. Si, en tant que journaliste ou fact-checker, vous voulez vous assurer que la photo ou la vidéo est une production UGC originale, demandez le fichier original et vous pourrez le vérifier ici en tant que fichier local pour voir ses métadonnées.	La mayoría de las plataformas de redes sociales se están deshaciendo de los metadatos de las fotos y los videos. Si, como periodista o fact-checker, quiere asegurarse de que la foto o el vídeo es una producción original de UGC, pida el archivo original y puede comprobarlo aquí como un archivo local para ver sus metadatos.	Οι περισσότερες πλατφόρμες κοινωνικών δικτύων αφαιρούν τα μεταδεδομένα σε εικόνες και βίντεο. Εάν, ως δημοσιογράφος ή ελεγκτής γεγονότων, θέλετε να βεβαιωθείτε ότι η εικόνα ή το βίντεο είναι μια πρωτότυπη παραγωγή περιεχόμενου που δημιουργήθηκε από τον χρήστη, ζητήστε το αρχικό αρχείο και μπορείτε να το ελέγξετε εδώ ως τοπικό αρχείο για να δείτε τα μεταδεδομένα του.
twittersna_sosem_graph_tip	This socio-semantic graph measures interactions between hashtags and actors as nodes. Thickness of edges reflects the intensity of interactions. Clicking on nodes will display below the graph the corresponding tweets.	Ce graphe socio-sémantique mesure les interactions entre les hashtags et les acteurs (nœuds du graphe). L'épaisseur des arrêtes reflète l'intensité des interactions. En cliquant sur les nœuds, les tweets correspondants s'affichent sous le graphe.	Este grafo socio-semántico mide las interacciones entre los hashtags y los actores como nodos. El grosor de los enlaces refleja la intensidad de las interacciones. Al cliquear en los nodos se muestran debajo del grafo los tweets correspondientes.	Αυτό το κοινωνικο-σημασιολογικό γράφημα μετρά τις αλληλεπιδράσεις μεταξύ hashtags και actors ως κόμβους. Το πάχος των ακμών αντικατοπτρίζει την ένταση των αλληλεπιδράσεων. Κάνοντας κλικ σε κόμβους θα εμφανιστούν κάτω από το γράφημα τα αντίστοιχα tweets.
twittersna_sosem_4mode_graph_tip	This socio-semantic graph measures interactions between hashtags, URLs, mentions, RTs with comment and replies as nodes. Thickness of edges reflects the intensity of interactions. Click on any node to get the corresponding tweets.	Ce graphe socio-sémantique mesure les interactions entre les hashtags, URLs, les mentions, les RTs avec commentaire et les réponses. L'épaisseur des arrêtes reflète l'intensité des interactions. En cliquant sur les nœuds, les tweets correspondants s'affichent sous le graphe.	Este grafo socio-semántico mide las interacciones entre los hashtags, URLs, las menciones, los RTs con comentario y las respuestas. El grosor de los enlaces refleja la intensidad de las interacciones. Al cliquear en cualquier nodo se muestra debajo del grafo los tweets correspondientes.	Αυτό το κοινωνικο-σημασιολογικό γράφημα μετρά τις αλληλεπιδράσεις μεταξύ hashtag, URLs, αναφορών, RT με σχόλια και απαντήσεις ως κόμβους. Το πάχος των ακμών αντικατοπτρίζει την ένταση των αλληλεπιδράσεων. Κάντε κλικ σε οποιονδήποτε κόμβο για να λάβετε τα αντίστοιχα tweets.
twittersna_acd_ts_tip	Stacked histogram of creation date of the accounts retrieved from your query	Histogramme empilé des dates de création des comptes récupérés dans votre requête	Histograma apilado de las fechas de creación de las cuentas recuperadas con su búsqueda	Ιστογράμματος σε μορφή στοίβας των ημερομηνιών δημιουργίας των λογαριασμών που ανακτήθηκαν από το ερώτημά σας
twittersna_bubble_chart_tip	This graphic displays the most active accounts with their creation date (x axis) and their number of followers (y axis). The size of the nodes reflects their level of activity on your query. The rhombus shape means verified accounts. Colors show account activity on your query (Blue: less than 5 tweets per day; Orange: between 5 and 14 tweets per day; Red: beyond 15 tweets per day).	Ce graphique affiche les comptes les plus actifs avec leur date de création (axe x) et leur nombre de followers (axe y). La taille des nœuds reflète leur niveau d'activité sur votre requête. Les noeuds en losange sont les comptes vérifiés. Les couleurs montrent l'activité des comptes (Bleu: moins de 5 tweets par jour; Orange: entre 5 et 14 tweets par jour; Rouge: 15 ou plus tweets par jour).	Este gráfico muestra las cuentas más activas con su fecha de creación (eje x) y su número de seguidores (eje y). El tamaño de los nodos refleja su nivel de actividad en su consulta. Los nodos en rombos son cuentas verificadas. Los colores muestran la actividad de las cuentas (Azul: menos de 5 tweets por dia; Naranja: entre 5 y 14 tweets por dia; Rojo: 15 o más tweets por dia).	Αυτό το γραφικό εμφανίζει τους πιο ενεργούς λογαριασμούς με την ημερομηνία δημιουργίας τους (άξονας x) και τον αριθμό των ακολούθων τους (άξονας y). Το μέγεθος των κόμβων αντικατοπτρίζει το επίπεδο δραστηριότητάς τους στο ερώτημά σας. Οι κόμβοι στο ρόμβο είναι επαληθευμένοι λογαριασμοί. Τα χρώματα δείχνουν τη δραστηριότητα του λογαριασμού στο ερώτημά σας (Μπλε: λιγότερα από 5 tweets την ημέρα; Πορτοκαλί: μεταξύ 5 και 14 tweets την ημέρα; Κόκκινο: πέρα από 15 tweets την ημέρα).
covid19_tip	This a customised search engine using Google CSE to query several sources of information in one go about the Covid-19 sanitary crisis. It was developed during the #EUvsVirus hackathon in April 2020	Ce moteur de recherche sur la crise sanitaire du Covid-19 est basé sur Google CSE. Il permet d'interroger de multiples sources en une requête. Cette fonctionnalité a été développé pendant le hackathon EUvsVirus de la Commission Européenne en avril 2020.	Este motor de busqueda se basa en Google CSE para interogar multiples fuentes de informacion sobre la crisis sanitaria del Covid-19. Fue desarrollado durante el hackathon EUvsVirus organizado por la Comision Europea en abril 2020.	Πρόκειται για μια προσαρμοσμένη μηχανή αναζήτησης που χρησιμοποιεί το Google CSE για να ρωτήσει πολλές πηγές πληροφοριών συγχρόνως για την κρίση του Covid-19. Αναπτύχθηκε κατά τη διάρκεια του hackathon #EUvsVirus τον Απρίλιο του 2020
xnetwork_tip	This customised search engine uses Google CSE to perform cross-network searches on keywords. It may help to evaluate the virality of a disinformation campaign accross several platforms indexed by Google.	Ce moteur de recherche personnalisé utilise Google CSE pour interroger plusieurs plateformes à la fois. Il peut permettre d'évaluer la viralité d'une campagne de désinformation à travers plusieurs réseaux sociaux indexés par Google.	Este motor de busqueda usa Google CSE para interogar varias plataformas a la vez. Puede ayudar a evaluar la viralidad de una campana de desinformacion a traves de varias redes sociales.	Αυτή η προσαρμοσμένη μηχανή αναζήτησης χρησιμοποιεί το Google CSE για την πραγματοποίηση αναζητήσεων μεταξύ δικτύων με λέξεις-κλειδιά. Μπορεί να σας βοηθήσει να αξιολογήσετε τη βιωσιμότητα μιας καμπάνιας παραπληροφόρησης σε διάφορες πλατφόρμες που ευρετηριάζονται από την Google.
twittersna_explication	This feature is not aimed for making large queries but to analyse emergence of disinformation. If you need to expand or relaunch your query, erase your previous results with the right orange-background cross, and submit again with your new parameters. 	Cette fonctionnalité n'est pas prévue pour de larges requêtes mais pour analyser l'émergence de désinformation. Si vous souhaitez élargir votre recherche, commencez par supprimer votre précédente requête en utilisant le bouton ad hoc (la croix blanche sur fond orange), puis relancez votre requête avec les nouveaux paramètres.	Esta herramienta permite analizar la emergencia  de desinformacion. No esta prevista para grandes busquedas. Si necesita ampliar o hacer otra busqueda, comience por suprimir los resultatos anteriores con el boton en forma de cruz con fondo naranja, y vuelva a repitir su consulta con otros parametros.	Αυτή η δυνατότητα δεν έχει ως στόχο να κάνει μεγάλα ερωτήματα αλλά να αναλύσει την εμφάνιση παραπληροφόρησης. Εάν πρέπει να αναπτύξετε ή να επανεκκινήσετε το ερώτημά σας, διαγράψτε τα προηγούμενα αποτελέσματά σας με το σωστό σταυρό πορτοκαλί φόντο και υποβάλετε ξανά τις νέες παραμέτρους.
ocr_tip	This service works best with images with text in Latin script. If you have entered a URL and it has failed to extract the relevant text, you can right use the buttons below to send the image to Bing or Yandex. Both offer OCR service.	Cet outil fonctionne sur des images avec du texte en alphabet latin. Si vous utilisez une URL et qu'il ne fonctionne pas, vous pouvez envoyer l'image à Bing ou Yandex en utilisant les boutons ci-dessous.	Esta herramienta funciona con imágenes con texto en alfabeto latino. Si usa una URL y no functiona, puede mandar la imagen a Bing o Yandex que ofrecen un servicio similar.	Αυτή η υπηρεσία λειτουργεί καλύτερα με εικόνες με κείμενο σε λατινικό σενάριο. Εάν έχετε εισαγάγει μια διεύθυνση URL και δεν έχει εξαγάγει το σχετικό κείμενο, μπορείτε να χρησιμοποιήσετε τα παρακάτω κουμπιά για να στείλετε την εικόνα στο Bing ή στο Yandex. Και οι δύο προσφέρουν υπηρεσία OCR.
intro_tip	If the input link does not work, enter the video and copy the link manually instead of using the facebook's option: "copy link".	Si le lien d'entrée ne fonctionne pas, entrez la vidéo et copiez le lien manuellement au lieu d'utiliser l'option de facebook: "copier le lien".	Si el enlace de entrada no funciona, ingrese el video y copie el enlace manualmente en lugar de usar la opción de Facebook: "copiar enlace".	Εάν ο σύνδεσμος εισαγωγής δεν λειτουργεί, εισαγάγετε το βίντεο και αντιγράψτε τον σύνδεσμο χειροκίνητα αντί να χρησιμοποιήσετε την επιλογή του facebook: "copy link".
