	en	fr	es	el
navbar_keyframes_description	It fragments a YouTube, Facebook or Twitter video or a mp4 file into keyframes for reverse image search	Fragmente une vidéo de YouTube, Facebook ou Twitter ou encore un fichier mp4 en images clés pour effectuer une recherche d'image inversée	Fragmenta un vídeo de YouTube, Facebook o Twitter o un archivo MP4 en fotogramas para realizar una búsqueda de imágenes inversa	 θραύσματα Α YouTube, το Facebook ή το Twitter βίντεο ή ένα αρχείο mp4 σε πλαίσια για να σας βοηθήσει να εκτελέσετε αντίστροφη αναζήτηση εικόνων
navbar_thumbnails_description	It extracts and performs a reverse search of the thumnails of a Youtube video	Extrait et effectue une recherche inverse des imagettes d'une vidéo de Youtube	Extrae y efectua una búsqueda inversa de las miniaturas de un vídeo de Youtube	Εξόρυξη και αντίστροφη αναζήτηση των thumnails ενός βίντεο Youtube
navbar_twitter_description	It performs advanced search queries on Twitter including by time interval up to the minute	Recherche avancée sur Twitter, y compris par intervalle de temps à la minute	Lanza consultas de búsqueda avanzada en Twitter incluyendo por intervalo de tiempo hasta el minuto	Μια φόρμα για να ξεκινήσει την προηγμένη ερωτήματα αναζήτησης στο Twitter μεταξύ άλλων μέσω χρονικό διάστημα μέχρι στιγμής
navbar_magnifier_description	It provides a magnifying lens and a photo editor to help you examine an image thoroughly	Une loupe et un éditeur de photo pour examiner minutieusement une image	Provee una lente de aumento y un editor de foto para examinar a fondo una imagen	Ένας μεγεθυντικός φακός και ένα πρόγραμμα επεξεργασίας φωτογραφιών που σας βοηθά να εξετάσει σε βάθος μια εικόνα
navbar_metadata_description	It extract metadata for jpeg images and videos (in mp4 or m4v format)	Extrait les métadonnées pour les images JPEG et des vidéos (en format MP4 ou M4V)	Extrae metadatos para imágenes (jpeg) y vídeos (en formato m4v mp4)	Ένας απαγωγέας μεταδεδομένων για jpeg εικόνες και βίντεο (σε mp4 ή μορφή m4v)
navbar_rights_description	It provides information about the legal rights of a Youtube or Twitter video	Fournit des informations sur les droits associés à une vidéo postée sur Youtube ou Twitter	Información sobre los derechos legales de un vídeo de Youtube o Twitter	Πληροφορίες σχετικά με τα νόμιμα δικαιώματα του Youtube ή το Twitter βίντεο
navbar_forensic_description	It provides an enhanced toolkit to detect image forgeries	Une boîte à outils améliorée pour détecter les falsifications d'images	Provee un conjunto de herramientas mejorado para detectar falsificaciones en las imágenes	Μια ενισχυμένη εργαλειοθήκη για την ανίχνευση πλαστά εικόνα
navbar_covidsearch_description	It provides a customised search engine of Factchecks.	Un moteur de recherche personnalisé pour retrouver des factchecks	Un motor personalizado de búsqueda de chequeos	Μια προσαρμοσμένη μηχανή αναζήτησης σε ένταξη και debunks.
navbar_xnetwork_description	It provides a customised search engine for cross-network queries	Un moteur de recherche personnalisé pour les requêtes transversales entre plusieurs réseaux	Un motor de búsqueda personalizado para consultas entre redes	Μια προσαρμοσμένη μηχανή αναζήτησης για ερωτήματα cross-δίκτυο
navbar_ocr_description	It provides optical character recognition for texts in images	Une reconnaissance optique de caractères pour les textes dans les images	Provee reconocimiento óptico de caracteres para textos en las imágenes	Οπτική αναγνώριση χαρακτήρων για εικόνες
navbar_gif_description	It compares an original image and a tampered one (including if the image has been cropped) and generates a GIF as output	Compare une image originale et une manipulée (y compris si l'image a été rognée) et génère en sortie une image gif	Compara una imagen original y una manipulada (incluyendo si la imagen ha sido recortada) y genera a la salida una imagen GIF	Δημιουργεί μια εικόνα GIF αποτελείται από μια πρωτότυπη εικόνα και μιας παραβιασμένης όνη (συμπεριλαμβανομένου του αν έχει περικοπεί η εικόνα)
api_help_video	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/6kkulKrgtLQ?rel=0	https://www.youtube.com/embed/FtAbxbrJMMY?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0
keyframes_help_video	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/kXtjUWTqgFQ?rel=0	https://www.youtube.com/embed/0seFvJXegyc?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0
thumbnails_help_video	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Ioe5yDqPaL8?rel=0	https://www.youtube.com/embed/cmv_1KJlbhE?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0
twitter_help_video	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/g0GldCZCh_Q?rel=0	https://www.youtube.com/embed/zHYJ43lhhOY?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0
magnifier_help_video	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/_FVyFgMqErM?rel=0	https://www.youtube.com/embed/IMutZWgZEGk?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0
metadata_help_video	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/RtG3kWzZfO0?rel=0	https://www.youtube.com/embed/uM-tlI6DpIE?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0
copyright_help_video	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/dDQWlR8u-mk?rel=0	https://www.youtube.com/embed/36hvLnIugjI?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0
forensic_help_video	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/jiqcixMzmpo?rel=0	https://www.youtube.com/embed/B2D0kPOAWxM?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0
close	Close	Fermer	Cerrar	Κλείσιμο
category_video	Video	Vidéo	Video	βίντεο
category_image	Image	Image	Imagen	Εικόνα
category_search	Search	Recherche	Busqueda	Αναζήτηση
category_data	Data analysis	Analyse des données	Análisis de datos	Ανάλυση δεδομένων
