	en	fr	es	el
youtube_channel_name_2	Channel created time	Date de la création de la chaîne	Fecha de la creación de la cadena	Ώρα δημιουργίας καναλιού
youtube_channel_name_3	Channel view count	Nombre de vues de la chaine	Número de vistas de la cadena	Αριθμός προβολών καναλιού
youtube_channel_name_4	Channel page	Page de la chaîne	Página de la cadena	Σελίδα καναλιού
youtube_channel_name_5	Number of subscribers	Nombre d'abonnés	Numero de suscriptores	Αριθμός συνδρομητών
youtube_channel_title	Channel:	Chaîne:	Cadena:	Κανάλι:
youtube_comment_name_1	Video comment count	Nombre de commentaires	Número de comentarios	Αριθμός σχολίων βίντεο
convert_to_local_time	Convert to local time	Convertir à l'heure locale	Pasar a la hora local	Μετατροπή σε τοπική ώρα
table_error_unavailable	This url is not valid	Cette URL n'est pas valide	Esta url no es válida	Αυτή η διεύθυνση URL δεν είναι έγκυρη
table_error_no_image_id	We cannot extract an image ID from the submitted URL. Please note also that Facebook does not allow us to process photos from Users or Groups.	Nous ne pouvons pas extraire un ID d'image à partir de l'URL soumise. Veuillez également noter que Facebook ne nous permet pas de traiter les photos des utilisateurs ou des groupes.	No podemos extraer una identificación de imagen de la URL enviada. Tenga en cuenta también que Facebook no nos permite procesar fotos de Usuarios o Grupos.	Δεν μπορούμε να εξαγάγουμε ένα αναγνωριστικό εικόνας από την υποβληθείσα διεύθυνση URL. Λάβετε επίσης υπόψη ότι το Facebook δεν μας επιτρέπει να επεξεργαζόμαστε φωτογραφίες από Χρήστες ή Ομάδες.
table_error_no_video_id	We cannot extract an video ID from the submitted URL. Please note also that Facebook does not allow us to process videos from Users or Groups.	Nous ne pouvons pas extraire un ID vidéo de l'URL soumise. Veuillez également noter que Facebook ne nous permet pas de traiter les vidéos des Utilisateurs ou des Groupes.	No podemos extraer una identificación de video de la URL enviada. Tenga en cuenta también que Facebook no nos permite procesar videos de Usuarios o Grupos.	Δεν μπορούμε να εξαγάγουμε ένα αναγνωριστικό βίντεο από την υποβληθείσα διεύθυνση URL. Σημειώστε επίσης ότι το Facebook δεν μας επιτρέπει να επεξεργαζόμαστε βίντεο από Χρήστες ή Ομάδες.
table_error_unavailable_image	This image is not available	Cette image n'est pas disponible	Esta imagen no es disponible	Αυτή η εικόνα δεν είναι διαθέσιμη
table_error_unavailable_video	We cannot process this video. Please note also that Facebook does not allow us to process videos from Users or Groups.	Nous ne pouvons pas traiter cette vidéo. Veuillez également noter que Facebook ne nous permet pas de traiter les vidéos des Utilisateurs ou des Groupes.	No podemos procesar este video. Tenga en cuenta también que Facebook no nos permite procesar videos de Usuarios o Grupos.	Αυτό το βίντεο δεν είναι διαθέσιμο. Σημειώστε επίσης ότι το Facebook δεν μας επιτρέπει να επεξεργαζόμαστε βίντεο από Χρήστες ή Ομάδες.
table_error_unsupported_platform	Content from this platform are not supported by this service	Le contenu de cette plateforme n'est pas pris en charge par ce service	El contenido de esta plataforma no es compatible con este servicio	Το περιεχόμενο από αυτήν την πλατφόρμα δεν υποστηρίζεται από αυτήν την υπηρεσία
page_number	out of	de	sobre	Εκτός
api_title_image	Image contextual verification	Vérification du contexte de la image	Verificación del contexto del imagen	Επαλήθευση με βάση τα συμφραζόμενα της εικόνας
link_comments	Comments that contain links	Commentaires contenant des liens	Comentarios que contienen enlaces	Σχόλια που περιέχουν συνδέσμους
api_comments_verified	Verification comments	Commentaires de vérification	Comentarios de verificación	Σχόλια επαλήθευσης
intro_tip	Tip	Conseils	Consejo	συμβουλή
platform	Platform	Plate-forme	Plataforma	Πλατφόρμα
source	Source	Source	Fuente	Πηγή
image_link	Image link	Lien de l'image	Enlace de imágen	Σύνδεσμος εικόνας
twitter_search	Search on Twitter	Rechercher sur Twitter	Buscar en Twitter	Αναζήτηση στο Twitter
comments_links	Number of comments that contain links	Nombre de commentaires contenant des liens	Número de comentarios que contienen enlaces	Αριθμός σχολίων που περιέχουν συνδέσμους
facebook_tip	This kind of Facebook link or shortener is not working properly. Try to click on the video and to get the url address instead. 	Ce genre de lien ou raccourci de Facebook ne fonctionne pas correctement. Cliquez sur la vidéo et récupérer le lien de la barre d'adresse URL.	Este tipo de enlace o de acortador de Facebook no funciona correctamente. Intenté cliquear sobre el video y de recuperar el enlace en la barra de URL. 	ΜΑυτό το είδος του συνδέσμου Facebook ή του shortener δεν λειτουργεί σωστά. Προσπαθήστε να κάνετε κλικ στο βίντεο και να λάβετε τη διεύθυνση url.
api_input_image	Facebook or Twitter link	Adresse Facebook ou Twitter	Enlace de Facebook o Twitter	Σύνδεσμος Facebook ή Twitter
image_description	Image description	Description de l'image	Descripción de la imagen	περιγραφή εικόνας
video_description	Video description	Description de la vidéo	Descripción del video	Περιγραφή βίντεο
twitter_reply	All replies	Toutes les réponses	Todas las respuestas	Όλες οι απαντήσεις
twitter_reply_verified	Verification replies	Réponses de vérification	Respuestas de verificación	Απαντήσεις επαλήθευσης
twitter_reply_link	Replies that contain links	Réponses contenant des liens	Respuestas que contienen enlaces	Απαντήσεις που περιέχουν συνδέσμους
twitter_replies	Replies	Réponses	Respuestas	Απαντήσεις
twitter_video_replies	Video replies	Réponses vidéo	Respuestas en video	Απαντήσεις βίντεο
video_card_header	Source of the video	Source de la vidéo	Fuente del video	Πηγή του βίντεο
image_card_header	Source of the image	Origine de l'image	Fuente de la imagen	Πηγή της εικόνας
user	User	Utilisateur	Usuario	Χρήστης
profile_creator	Profile	Profil	Perfil	Προφίλ
cardheader_results	Results	Résultats	Resultados	Αποτελέσματα
